Time(d),C/S in solid
0.001,377.33
0.0011,341.61
0.00121,302.7
0.001331,256.31
0.0014641,211.83
0.0016105,173.67
0.0017716,142.42
0.0019487,117.17
0.0021436,96.915
0.002358,80.633
0.0025937,67.493
0.0028531,56.831
0.0031384,48.129
0.0034523,40.986
0.0037975,35.301
0.0041773,30.472
0.004595,26.439
0.0050545,23.056
0.0055599,20.208
0.0061159,17.801
0.0067275,15.761
0.0074002,14.027
0.0081403,12.548
0.0089543,11.285
0.0098497,10.203
0.010835,9.2747
0.011918,8.4767
0.01311,7.7897
0.014421,7.1972
0.015863,6.6857
0.017449,6.2435
0.019194,5.8607
0.021114,5.5291
0.023225,5.2415
0.025548,4.9918
0.028102,4.7788
0.030913,4.6009
0.034004,4.4506
0.037404,4.3223
0.041145,4.2117
0.045259,4.1158
0.049785,4.0319
0.054764,3.9581
0.06024,3.8928
0.066264,3.8347
0.07289,3.7828
0.08018,3.7363
0.088197,3.6945
0.097017,3.6567
0.10672,3.6228
0.11739,3.5925
0.12913,3.5654
0.14204,3.5411
0.15625,3.5195
0.17187,3.5001
0.18906,3.4828
0.20797,3.4674
0.22876,3.4537
0.25164,3.4417
0.2768,3.4311
0.30448,3.4219
0.33493,3.4139
0.36842,3.407
0.40526,3.4011
0.44579,3.3955
0.49037,3.3903
0.53941,3.3854
0.59335,3.3808
0.65268,3.3765
0.71795,3.3724
0.78975,3.3686
0.86872,3.365
0.95559,3.3616
1.0512,3.3584
1.1563,3.3554
1.2719,3.3525
1.3991,3.3498
1.539,3.3472
1.6929,3.3448
1.8622,3.3424
2.0484,3.3403
2.2532,3.3382
2.4786,3.3363
2.7264,3.3345
3,3.3328
3.3,3.3313
3.63,3.3298
3.993,3.3284
4.3923,3.3271
4.8315,3.3259
5.3147,3.3248
5.8461,3.3237
6.4308,3.3227
7,3.3218
7.7,3.3209
8.47,3.32
9.317,3.3192
10.249,3.3184
11.274,3.3177
12.401,3.317
14,3.3162
15.4,3.3156
16.94,3.315
18.634,3.3145
20.497,3.314
22.547,3.3135
24.802,3.313
28,3.3126
30,3.3128
32,3.313
34,3.3131
36,3.3132
38,3.313
40,3.3128
42,3.3126
44,3.3124
46,3.3123
48,3.3121
50,3.312
52,3.3118
54,3.3117
56,3.3116
